SKU,商品名,カテゴリ,現在庫数,適正在庫,先月使用数,備考
QO-PEN-B10,ボールペン 黒 10本セット,文具・事務用品,48,30,15,
QO-HL-05C,蛍光ペン 5色セット,文具・事務用品,32,20,8,
QO-SN-75P5,付箋 75x75 5冊パック,文具・事務用品,8,30,12,在庫薄
QO-WBM-04,ホワイトボードマーカー 4色セット,文具・事務用品,4,15,6,在庫薄 至急
QO-PA4-500,A4コピー用紙 500枚,コピー用紙・OA用紙,12,30,18,在庫薄
QO-PA3-500,A3コピー用紙 500枚,コピー用紙・OA用紙,18,15,4,
QO-INK-LC411,ブラザー LC411 互換インク 4色,トナー・インク,6,10,3,
QO-TNR-CN-K,Canon 互換トナー 黒,トナー・インク,1,6,1,在庫薄 至急
QO-CF-NGB80,ネスカフェ ゴールドブレンド 80g,コーヒー・お茶,14,20,8,
QO-CUP-200,紙コップ 200ml 100個入,コーヒー・お茶,2,12,5,在庫薄 至急
QO-TB-IGO50,伊藤園 おーいお茶 ティーバッグ 50袋,コーヒー・お茶,9,12,4,
QO-TS-5P,ティッシュペーパー 5箱パック,ティッシュ・衛生用品,25,20,8,
QO-AW-100,アルコール除菌ウェットティッシュ 100枚,ティッシュ・衛生用品,3,12,5,在庫薄 至急
QO-CL-100,A4クリアファイル 100枚,ファイル・収納,22,25,9,
QO-FL-A410,2穴ファイル A4 10冊セット,ファイル・収納,7,10,2,
QO-MP-BK,マウスパッド ブラック,デスク周り,16,12,3,
QO-PS-MT,卓上ペン立て メタル,デスク周り,5,10,2,在庫薄
QO-USB-C1,USB-Cケーブル 1m,ITアクセサリ,11,15,4,
QO-WM-01,ワイヤレスマウス,ITアクセサリ,13,10,3,
QO-HDMI-2M,HDMIケーブル 2m,ITアクセサリ,2,10,3,在庫薄 至急
